"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Register, login, creating club by API, imitate session by localStorage, navigate on Club Page.Verify fields on ClubPage","10042","Create club by API and verify by UI","","2026-08-20","passed","2026-08-20","","msl.qa.tests.ui.club.ClubUiTests","msl.qa.tests.ui.club.ClubUiTests","createClub"
"","4047","[UI] Successful Login","","2026-08-20","passed","2026-08-20","","msl.qa.tests.ui.login.LoginUiTests","msl.qa.tests.ui.login.LoginUiTests","successfulLoginTest"
