"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4188","[UI] Successful Login","","2026-09-03","passed","2026-09-03","","msl.qa.tests.ui.login.LoginUiTests","msl.qa.tests.ui.login.LoginUiTests","successfulLoginTest"
"Register, login, creating club by API, imitate session by localStorage, navigate on Club Page.Verify fields on ClubPage","10516","Create club by API and verify by UI","","2026-09-03","passed","2026-09-03","","msl.qa.tests.ui.club.ClubUiTests","msl.qa.tests.ui.club.ClubUiTests","createClub"
